#<METADATA>SAMPLE=HCC1143_tumor
contig	start	end	minor_allele_fraction
chr9	4625429	137426340	0.34266828397615634
chr7	886057	151560604	0.3697928957736545
chrX	3018634	154966714	0.28541019662496847
chr8	22558087	144084619	0.28541019662496847
chr5	13754264	178149690	0.34266828397615634
chr6	12290673	37027446	0.41400000000000003
chr6	38761735	137004782	0.21458980337503158
chr21	15826970	46003595	0.34266828397615634
chr10	1020770	133210593	0.3697928957736545
chr3	10007414	197870323	0.4
chr22	16799932	50626933	0.42116868066250207
chr11	541639	130188490	0.2597485120389217
chr4	680510	89249711	0.29826429859121817
chr12	860962	130971535	0.3122296358672387
chr1	1085966	248855917	0.3288215780799571
chr13	21155113	114009476	0.20074358979465692
chr2	10802518	241751330	0.301865189868068
chr20	388261	41163423	0.30438672376990566
chr20	41203988	64239879	0.45389417785766273
chr18	2547481	79899553	0.30261155054330285
chr19	1091774	33137719	0.2636670642888658
chr19	34490516	58571001	0.4359851322837737
chr14	35627065	105909862	0.386
chr15	22944535	55993497	0.25629906575184097
chr15	57633792	101675562	0.3728181633296583
chr16	375277	89561052	0.3284776268230684
chr17	737856	82488066	0.3199936877270003
