#<METADATA>SAMPLE=HCC1954T
contig	start	end	minor_allele_fraction
chr9	2083338	138175475	0.21458980337503158
chr7	849532	158918893	0.386
chrX	312236	57592437	0.32216499144883726
chr8	23163833	142877758	0.34266828397615634
chr5	224518	180950018	0.2267357014087819
chr6	599209	169632990	0.260859919560931
chr21	18279040	46567634	0.32419539610330217
chr10	356377	133567939	0.3055085320884649
chr3	1227996	198038561	0.2267357014087819
chr22	20113405	50150767	0.2725560946587188
chr11	212408	49784116	0.38464718571406986
chr11	54706953	72105046	0.21458980337503158
chr11	72109304	134347316	0.3392686324340662
chr4	87223	36150962	0.264202040841379
chr4	37443693	188104818	0.3697928957736545
chr12	197849	133234117	0.34266828397615634
chr1	1175611	157547337	0.2542723729729501
chr1	158181428	247588429	0.17082039324993695
chr13	20034325	113835487	0.4293467440341784
chr2	1542589	241751355	0.3847173954278407
chr20	227262	63981322	0.386
chr18	214959	80160338	0.2267357014087819
chr19	5783701	30012255	0.24253295233734862
chr19	32605812	58548362	0.3697928957736545
chr14	19748401	36711480	0.41400000000000003
chr14	39176061	105249178	0.24266816731144883
chr15	26772389	101251400	0.43026490473594897
chr16	284732	90044542	0.4
chr17	17793785	82657767	0.2647879182578992
